time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,bid3,bid_size3,ask3,ask_size3,bid4,bid_size4,ask4,ask_size4,bid5,bid_size5,ask5,ask_size5,bid6,bid_size6,ask6,ask_size6,bid7,bid_size7,ask7,ask_size7
2021-10-01 10:45:59.079612-04:00,34.63,36.0,34.66,2.0,18.17,2703.0,18.18,537.0,16.59,7452.0,16.6,125.0,52.39,58.0,52.43,90.0,16.17,121.0,16.18,133.0,24.37,78.0,24.39,52.0,68.36,10.0,68.69,16.0
2021-10-01 10:45:59.079612-04:00,34.63,36.0,34.66,2.0,18.17,2703.0,18.18,537.0,16.59,7452.0,16.6,125.0,52.39,58.0,52.43,90.0,16.17,121.0,16.18,133.0,24.37,78.0,24.39,115.0,68.36,4.0,68.69,16.0
2021-10-01 10:45:59.079612-04:00,34.63,36.0,34.66,2.0,18.17,2703.0,18.18,537.0,16.6,5903.0,16.61,3034.0,52.39,58.0,52.43,90.0,16.17,121.0,16.18,133.0,24.37,78.0,24.39,115.0,68.36,4.0,68.69,16.0
2021-10-01 10:46:09.115780-04:00,34.66,18.0,34.7,20.0,18.17,2703.0,18.18,537.0,16.6,5903.0,16.61,3034.0,52.38,2.0,52.4,72.0,16.17,121.0,16.18,133.0,24.37,78.0,24.39,115.0,68.36,4.0,68.69,16.0
2021-10-01 10:46:09.115780-04:00,34.66,18.0,34.7,20.0,18.18,3486.0,18.19,402.0,16.6,5903.0,16.61,3034.0,52.38,2.0,52.4,72.0,16.17,121.0,16.18,133.0,24.37,78.0,24.39,115.0,68.36,4.0,68.69,16.0
2021-10-01 10:46:09.115780-04:00,34.66,18.0,34.7,20.0,18.18,3486.0,18.19,402.0,16.6,5903.0,16.61,3034.0,52.38,2.0,52.4,72.0,16.17,73.0,16.18,262.0,24.37,77.0,24.39,88.0,68.36,4.0,68.69,16.0
2021-10-01 10:46:09.115780-04:00,34.66,18.0,34.7,20.0,18.18,3486.0,18.19,402.0,16.6,3426.0,16.61,4486.0,52.38,2.0,52.4,72.0,16.17,73.0,16.18,262.0,24.37,77.0,24.39,88.0,68.37,14.0,68.69,4.0
2021-10-01 10:46:19.078170-04:00,34.63,38.0,34.67,146.0,18.18,3486.0,18.19,402.0,16.6,3426.0,16.61,4486.0,52.39,149.0,52.45,37.0,16.17,73.0,16.18,262.0,24.37,77.0,24.39,88.0,68.37,14.0,68.69,4.0
2021-10-01 10:46:19.078170-04:00,34.63,38.0,34.67,146.0,18.18,1030.0,18.19,2638.0,16.6,3426.0,16.61,4486.0,52.39,149.0,52.45,37.0,16.17,73.0,16.18,262.0,24.37,77.0,24.39,88.0,68.37,14.0,68.69,4.0
2021-10-01 10:46:19.078170-04:00,34.63,38.0,34.67,146.0,18.18,1030.0,18.19,2638.0,16.6,3426.0,16.61,4486.0,52.39,149.0,52.45,37.0,16.17,76.0,16.18,266.0,24.37,77.0,24.39,88.0,68.37,14.0,68.69,4.0
2021-10-01 10:46:19.078170-04:00,34.63,38.0,34.67,146.0,18.18,1030.0,18.19,2638.0,16.6,3426.0,16.61,4486.0,52.39,149.0,52.45,37.0,16.17,76.0,16.18,266.0,24.37,77.0,24.39,251.0,68.37,17.0,68.69,4.0
2021-10-01 10:46:19.078170-04:00,34.63,38.0,34.67,146.0,18.18,301.0,18.19,2824.0,16.6,3168.0,16.61,4677.0,52.39,149.0,52.45,37.0,16.17,76.0,16.18,266.0,24.37,77.0,24.39,251.0,68.37,17.0,68.69,4.0
2021-10-01 10:46:19.078170-04:00,34.63,38.0,34.67,146.0,18.18,301.0,18.19,2824.0,16.6,3168.0,16.61,4677.0,52.4,15.0,52.43,18.0,16.17,76.0,16.18,266.0,24.37,77.0,24.39,251.0,68.37,17.0,68.69,4.0
2021-10-01 10:46:30.061779-04:00,34.63,2.0,34.67,125.0,18.18,301.0,18.19,2824.0,16.6,3168.0,16.61,4677.0,52.4,15.0,52.43,18.0,16.17,76.0,16.18,266.0,24.37,77.0,24.39,251.0,68.37,17.0,68.69,4.0
2021-10-01 10:46:30.061779-04:00,34.63,2.0,34.67,125.0,18.18,301.0,18.19,2824.0,16.6,3168.0,16.61,4677.0,52.4,15.0,52.43,18.0,16.17,97.0,16.18,267.0,24.37,77.0,24.39,251.0,68.37,17.0,68.69,4.0
