time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,logmid1,logmid2,logbid1,logbid2,logask1,logask2,residuals,forward_pnl,mid1_diff,mid2_diff,imb1,imb2,mid1_diff_bin,mid2_diff_bin,self.__res_bin,imb1_bin,imb2_bin,state,state_later
2021-09-27 11:11:57.130550-04:00,17.82,2284,17.83,1738,16.43,3898,16.44,3245,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.5678766782695176,0.5457090858182836,1,1,3,1,1,311,31111
2021-09-27 11:12:09.140439-04:00,17.82,2284,17.83,1738,16.43,3899,16.44,3245,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.5678766782695176,0.5457726763717805,1,1,3,1,1,311,31111
2021-09-27 11:12:15.147380-04:00,17.82,2141,17.83,1620,16.43,3621,16.44,3059,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0,0.0,0.0,0.5692634937516617,0.542065868263473,1,1,3,1,1,311,31121
2021-09-27 11:12:15.147380-04:00,17.82,2195,17.83,1620,16.43,3621,16.44,3059,17.825,16.435000000000002,2.8806019663003597,2.799413207116183,2.8803214220426634,2.799108932049177,2.8808824318750488,2.799717389628034,-4.661963613061815e-05,0.0005608525104952022,0.010000000000001563,0.0,0.5753604193971167,0.542065868263473,2,1,3,1,1,311,51211
2021-09-27 11:12:36.181037-04:00,17.83,2210,17.84,1855,16.43,6192,16.44,2154,17.835,16.435000000000002,2.881162818810855,2.799413207116183,2.8808824318750488,2.799108932049177,2.8814431271518632,2.799717389628034,0.0005142328743645841,0.0,0.0,0.0,0.5436654366543665,0.7419122933141624,1,1,5,1,2,512,51211
2021-09-27 11:12:36.181037-04:00,17.83,3115,17.84,1609,16.43,6192,16.44,2154,17.835,16.435000000000002,2.881162818810855,2.799413207116183,2.8808824318750488,2.799108932049177,2.8814431271518632,2.799717389628034,0.0005142328743645841,0.0,0.0,0.0,0.6593988145639289,0.7419122933141624,1,1,5,1,2,512,51211
2021-09-27 11:12:49.192288-04:00,17.83,3115,17.84,1609,16.43,6192,16.44,1819,17.835,16.435000000000002,2.881162818810855,2.799413207116183,2.8808824318750488,2.799108932049177,2.8814431271518632,2.799717389628034,0.0005142328743645841,0.0,0.0,0.0,0.6593988145639289,0.7729372113344152,1,1,5,1,2,512,51211
2021-09-27 11:12:55.199229-04:00,17.83,3172,17.84,1770,16.43,6195,16.44,2233,17.835,16.435000000000002,2.881162818810855,2.799413207116183,2.8808824318750488,2.799108932049177,2.8814431271518632,2.799717389628034,0.0005142328743645841,0.0,0.0,0.0,0.641845406717928,0.7350498338870431,1,1,5,1,2,512,52211
2021-09-27 11:13:03.208699-04:00,17.83,3231,17.84,1356,16.43,6195,16.44,2233,17.835,16.435000000000002,2.881162818810855,2.799413207116183,2.8808824318750488,2.799108932049177,2.8814431271518632,2.799717389628034,0.0005142328743645841,0.0,0.0,0.0,0.7043819489862655,0.7350498338870431,1,1,5,2,2,522,52211
2021-09-27 11:13:03.208699-04:00,17.83,3231,17.84,1356,16.43,6194,16.44,1917,17.835,16.435000000000002,2.881162818810855,2.799413207116183,2.8808824318750488,2.799108932049177,2.8814431271518632,2.799717389628034,0.0005142328743645841,0.0,0.0,0.0,0.7043819489862655,0.7636542966342005,1,1,5,2,2,522,52211
